timestamp,ap_name,ssid,client_id,client_description,event_category,event_type,event_detail
2026-03-20 21:22:07,072_Hormiguero_AP1,Zona Wifi Rural Gratis-Alcaldia,db6e3a53b1b06113,moto-g22,802.1X,802.1X authentication,"""radio: 1, vap: 0, client_mac: 46:2A:87:41:79:C8, aid: 2121111408"""
2026-03-20 21:22:07,072_Hormiguero_AP1,Zona Wifi Rural Gratis-Alcaldia,db6e3a53b1b06113,moto-g22,802.11,802.11 association,"""channel: 149, rssi: 27, band: 5"""
2026-03-20 21:22:08,072_Hormiguero_AP1,Zona Wifi Rural Gratis-Alcaldia,ed85ca0e2c6b62b6,V2430,802.11,802.11 association,"""channel: 11, rssi: 25, band: 2"""
2026-03-20 21:22:08,072_Hormiguero_AP1,Zona Wifi Rural Gratis-Alcaldia,ed85ca0e2c6b62b6,V2430,802.1X,802.1X authentication,"""radio: 0, vap: 0, client_mac: 62:7A:45:FB:F4:50, aid: 1998480149"""
2026-03-20 21:22:11,060_Felidia-AP2,Zona Wifi Rural Gratis-Alcaldia,328f0272162f6208,e2:35:27:dd:dd:fa,802.11,802.11 disassociation,"""client not responding"""
2026-03-20 21:22:18,059_El Saladito-AP1,Zona Wifi Rural Gratis-Alcaldia,6a5f7dac362df250,Redmi-Note-11,802.11,802.11 disassociation,"""client was deauthenticated"""
2026-03-20 21:22:20,059_El Saladito-AP1,Zona Wifi Rural Gratis-Alcaldia,6a5f7dac362df250,Redmi-Note-11,802.11,802.11 disassociation,"""previous authentication expired"""
2026-03-20 21:22:21,060_Felidia-AP2,Zona Wifi Rural Gratis-Alcaldia,f2f7af9c075c6f4a,Android_M7C3JXB3,802.11,802.11 disassociation,"""client has left AP"""
2026-03-20 21:22:21,060_Felidia-AP2,Zona Wifi Rural Gratis-Alcaldia,f2f7af9c075c6f4a,Android_M7C3JXB3,802.11,802.11 association,"""channel: 11, rssi: 35, band: 2"""
2026-03-20 21:22:21,060_Felidia-AP2,Zona Wifi Rural Gratis-Alcaldia,f2f7af9c075c6f4a,Android_M7C3JXB3,802.1X,802.1X authentication,"""radio: 0, vap: 0, client_mac: 7A:5D:2C:80:6C:56, aid: 2130008561"""
2026-03-20 21:22:33,072_Hormiguero_AP1,Zona Wifi Rural Gratis-Alcaldia,6d612a86bee4b0a6,Android,802.11,802.11 disassociation,"""client not responding"""
2026-03-20 21:22:34,059_El Saladito-AP1,Zona Wifi Rural Gratis-Alcaldia,6a5f7dac362df250,Redmi-Note-11,802.1X,802.1X authentication,"""radio: 1, vap: 0, client_mac: 96:F3:B5:F9:21:D8, aid: 1743305184"""
2026-03-20 21:22:34,059_El Saladito-AP1,Zona Wifi Rural Gratis-Alcaldia,6a5f7dac362df250,Redmi-Note-11,802.11,802.11 association,"""channel: 149, rssi: 4, band: 5"""
2026-03-20 21:22:35,072_Hormiguero_AP1,Zona Wifi Rural Gratis-Alcaldia,db6e3a53b1b06113,moto-g22,802.11,802.11 disassociation,"""client has left AP"""
2026-03-20 21:22:38,072_Hormiguero_AP1,Zona Wifi Rural Gratis-Alcaldia,ed85ca0e2c6b62b6,V2430,802.11,802.11 disassociation,"""client was deauthenticated"""
2026-03-20 21:22:40,072_Hormiguero_AP1,Zona Wifi Rural Gratis-Alcaldia,ed85ca0e2c6b62b6,V2430,802.11,802.11 disassociation,"""previous authentication expired"""
2026-03-20 21:23:04,059_El Saladito-AP1,Zona Wifi Rural Gratis-Alcaldia,6a5f7dac362df250,Redmi-Note-11,802.11,802.11 disassociation,"""client was deauthenticated"""
2026-03-20 21:23:06,059_El Saladito-AP1,Zona Wifi Rural Gratis-Alcaldia,6a5f7dac362df250,Redmi-Note-11,802.11,802.11 disassociation,"""previous authentication expired"""
2026-03-20 21:23:07,066_Pance-AP1,Zona Wifi Rural Gratis-Alcaldia,2f865976a28042c7,Android_8TR83X7K,802.11,802.11 disassociation,"""client was deauthenticated"""
2026-03-20 21:23:18,060_Felidia-AP1,Zona Wifi Rural Gratis-Alcaldia,f2f7af9c075c6f4a,Android_M7C3JXB3,802.1X,802.1X authentication,"""radio: 0, vap: 0, client_mac: 7A:5D:2C:80:6C:56, aid: 1802339695"""
2026-03-20 21:23:18,060_Felidia-AP1,Zona Wifi Rural Gratis-Alcaldia,f2f7af9c075c6f4a,Android_M7C3JXB3,802.11,802.11 association,"""channel: 11, rssi: 25, band: 2"""
2026-03-20 21:23:18,060_Felidia-AP1,Zona Wifi Rural Gratis-Alcaldia,f2f7af9c075c6f4a,Android_M7C3JXB3,802.11,802.11 disassociation,"""client has left AP"""
2026-03-20 21:23:24,072_Hormiguero_AP1,Zona Wifi Rural Gratis-Alcaldia,a6355113d7f7434b,Android-5,802.1X,802.1X authentication,"""radio: 1, vap: 0, client_mac: 70:5F:A3:4D:80:05, aid: 1800945018"""
2026-03-20 21:23:24,072_Hormiguero_AP1,Zona Wifi Rural Gratis-Alcaldia,a6355113d7f7434b,Android-5,802.11,802.11 association,"""channel: 149, rssi: 16, band: 5"""
2026-03-20 21:23:29,066_Pance-AP1,Zona Wifi Rural Gratis-Alcaldia,84e99f0c558f4e6e,A24-de-Tatiana,802.1X,802.1X authentication,"""radio: 1, vap: 0, client_mac: 8E:17:B0:2F:48:BA, aid: 1468032608"""
2026-03-20 21:23:29,066_Pance-AP1,Zona Wifi Rural Gratis-Alcaldia,84e99f0c558f4e6e,A24-de-Tatiana,802.11,802.11 association,"""channel: 149, rssi: 32, band: 5"""
2026-03-20 21:23:41,067_Montebello-AP1,Zona Wifi Rural Gratis-Alcaldia,6d612a86bee4b0a6,Android,802.1X,802.1X authentication,"""radio: 0, vap: 0, client_mac: A8:5A:E0:50:D1:AF, aid: 1272757274"""
2026-03-20 21:23:41,067_Montebello-AP1,Zona Wifi Rural Gratis-Alcaldia,6d612a86bee4b0a6,Android,802.11,802.11 association,"""channel: 11, rssi: 30, band: 2"""
2026-03-20 21:23:43,060_Felidia-AP1,Zona Wifi Rural Gratis-Alcaldia,de016d636fca2837,16:73:73:78:c9:27,802.11,802.11 association,"""channel: 11, rssi: 26, band: 2"""
2026-03-20 21:23:43,072_Hormiguero_AP1,Zona Wifi Rural Gratis-Alcaldia,a8b572bdb426180f,Redmi-A5,802.11,802.11 disassociation,"""client not responding"""
2026-03-20 21:23:43,060_Felidia-AP1,Zona Wifi Rural Gratis-Alcaldia,de016d636fca2837,16:73:73:78:c9:27,802.1X,802.1X authentication,"""radio: 0, vap: 0, client_mac: 16:73:73:78:C9:27, aid: 849457796"""
2026-03-20 21:23:52,072_Hormiguero_AP1,Zona Wifi Rural Gratis-Alcaldia,db6e3a53b1b06113,moto-g22,802.11,802.11 disassociation,"""client was deauthenticated"""
2026-03-20 21:23:52,060_Felidia-AP1,Zona Wifi Rural Gratis-Alcaldia,de016d636fca2837,16:73:73:78:c9:27,802.11,802.11 disassociation,"""client has left AP"""
2026-03-20 21:23:56,060_Felidia-AP2,Zona Wifi Rural Gratis-Alcaldia,de016d636fca2837,16:73:73:78:c9:27,802.1X,802.1X authentication,"""radio: 0, vap: 0, client_mac: 16:73:73:78:C9:27, aid: 598890786"""
2026-03-20 21:23:56,060_Felidia-AP2,Zona Wifi Rural Gratis-Alcaldia,de016d636fca2837,16:73:73:78:c9:27,802.11,802.11 association,"""channel: 11, rssi: 36, band: 2"""
2026-03-20 21:24:01,058_La Elvira-AP1,Zona Wifi Rural Gratis-Alcaldia,3b274d081df3cf64,moto-g34-5G,802.11,802.11 disassociation,"""client not responding"""
2026-03-20 21:24:09,066_Pance-AP1,Zona Wifi Rural Gratis-Alcaldia,84e99f0c558f4e6e,A24-de-Tatiana,Auth,Splash authentication,"""duration: 3600"""
2026-03-20 21:24:17,072_Hormiguero_AP1,Zona Wifi Rural Gratis-Alcaldia,81c67b7d49f3e383,Android-2,802.1X,802.1X authentication,"""radio: 0, vap: 0, client_mac: F8:AB:82:34:37:CE, aid: 570043758"""
2026-03-20 21:24:17,072_Hormiguero_AP1,Zona Wifi Rural Gratis-Alcaldia,81c67b7d49f3e383,Android-2,802.11,802.11 association,"""channel: 11, rssi: 30, band: 2"""
2026-03-20 21:24:20,067_Montebello-AP1,Zona Wifi Rural Gratis-Alcaldia,6d612a86bee4b0a6,Android,802.11,802.11 disassociation,"""client not responding"""
2026-03-20 21:24:27,060_Felidia-AP2,Zona Wifi Rural Gratis-Alcaldia,de016d636fca2837,16:73:73:78:c9:27,802.11,802.11 disassociation,"""client has left AP"""
2026-03-20 21:24:36,072_Hormiguero_AP1,Zona Wifi Rural Gratis-Alcaldia,90a5d5a8573d7f52,Julian,802.1X,802.1X authentication,"""radio: 1, vap: 0, client_mac: FA:C5:CF:DF:A3:1D, aid: 2014583322"""
